69,"Варненски свободен университет ""Черноризец Храбър""",3.8,Икономика,Политическа икономия,програмна акредитация - докторска програма,дава акредитация,8.76,17.6.2020
70,"Варненски свободен университет ""Черноризец Храбър""",3.8,Икономика,Световно стопанство и МИО,програмна акредитация - докторска програма,дава акредитация,9.36,17.6.2021
71,"Варненски свободен университет ""Черноризец Храбър""",3.8,Икономика,"Счетоводна отчетност, контрол и анализ на стопанската дейност",програмна акредитация - докторска програма,дава акредитация,8.38,17.6.2020
72,"Варненски свободен университет ""Черноризец Храбър""",4.6,Информатика и компютърни науки,"Информационни системи и технологии, информатика и компютърни науки",програмна акредитация - докторска програма,дава акредитация,8.13,12.1.2020
73,"Варненски свободен университет ""Черноризец Храбър""",5.7,"Архитектура, строителство и геодезия","Архитектура на сгради, конструкции, съоръжения и детайли",програмна акредитация - докторска програма,дава акредитация,8.76,28.11.2018
74,"Варненски свободен университет ""Черноризец Храбър""",5.7,"Архитектура, строителство и геодезия","Синтез на архитектурата с другите изкуства, интериор и архитектурен дизайн",програмна акредитация - докторска програма,дава акредитация,8.77,3.12.2020
75,"Варненски свободен университет ""Черноризец Храбър""",5.7,"Архитектура, строителство и геодезия",Строителни конструкции,програмна акредитация - докторска програма,дава акредитация,9.21,14.10.2022
76,"Варненски свободен университет ""Черноризец Храбър""",5.7,"Архитектура, строителство и геодезия","Строителни материали, изделия и технологии за производството им",програмна акредитация - докторска програма,дава акредитация,8.69,14.10.2021
77,"Варненски свободен университет ""Черноризец Храбър""",5.7,"Архитектура, строителство и геодезия",Териториално и ландшафтно устройство и градустройство,програмна акредитация - докторска програма,дава акредитация,8.75,28.11.2018
78,"Варненски свободен университет ""Черноризец Храбър""",8.3,Музикално и танцово изкуство,Хореография,програмна акредитация - докторска програма,дава акредитация,8.64,12.3.2019
79,"Варненски свободен университет ""Черноризец Храбър""",9.1,Национална сигурност,Управление в сферата на сигурността и обществения ред,програмна акредитация - докторска програма,дава акредитация,9.3,2.7.2020
80,"Великотърновски университет ""Св. св. Кирил и Методий""",1.2,Педагогика,История на педагогиката и българското образование,програмна акредитация - докторска програма,дава акредитация,8.69,12.3.2024
81,"Великотърновски университет ""Св. св. Кирил и Методий""",1.2,Педагогика,Предучилищна педагогика,програмна акредитация - докторска програма,дава акредитация,9.1,12.3.2025
82,"Великотърновски университет ""Св. св. Кирил и Методий""",1.2,Педагогика,Социална педагогика,програмна акредитация - докторска програма,дава акредитация,9.2,12.3.2025
83,"Великотърновски университет ""Св. св. Кирил и Методий""",1.2,Педагогика,Специална педагогика,програмна акредитация - докторска програма,дава акредитация,8.32,27.9.2021
84,"Великотърновски университет ""Св. св. Кирил и Методий""",1.2,Педагогика,Теория на възпитанието и дидактика,програмна акредитация - докторска програма,дава акредитация,9.29,12.3.2025
85,"Великотърновски университет ""Св. св. Кирил и Методий""",1.3,Педагогика на обучението по ...,"Методика на обучението по (български език и литература, математика, бит и техника, изобразително изкуство)",програмна акредитация - докторска програма,дава акредитация,няма информация,27.10.2017
86,"Великотърновски университет ""Св. св. Кирил и Методий""",1.3,Педагогика на обучението по ...,"Методика на обучението по (чужд език, човек и общество, човек и природа, география)",програмна акредитация - докторска програма,дава акредитация,няма информация,27.10.2016
87,"Великотърновски университет ""Св. св. Кирил и Методий""",1.3,Педагогика на обучението по ...,Методика на обучението по български език и литература,програмна акредитация - докторска програма,дава акредитация,9.49,11.7.2023
88,"Великотърновски университет ""Св. св. Кирил и Методий""",1.3,Педагогика на обучението по ...,Методика на обучението по география,програмна акредитация - докторска програма,дава акредитация,9.42,25.10.2022
89,"Великотърновски университет ""Св. св. Кирил и Методий""",1.3,Педагогика на обучението по ...,Методика на обучението по изобразително изкуство,програмна акредитация - докторска програма,дава акредитация,9.4,11.7.2023
90,"Великотърновски университет ""Св. св. Кирил и Методий""",1.3,Педагогика на обучението по ...,Методика на обучението по информатика и информационни технологии,програмна акредитация - докторска програма,дава акредитация,8.88,11.7.2022
91,"Великотърновски университет ""Св. св. Кирил и Методий""",1.3,Педагогика на обучението по ...,Методика на обучението по история,програмна акредитация - докторска програма,дава акредитация,8.8,30.1.2023
92,"Великотърновски университет ""Св. св. Кирил и Методий""",1.3,Педагогика на обучението по ...,Методика на обучението по математика,програмна акредитация - докторска програма,дава акредитация,9.43,11.7.2023
93,"Великотърновски университет ""Св. св. Кирил и Методий""",1.3,Педагогика на обучението по ...,Методика на обучението по музика,програмна акредитация - докторска програма,дава акредитация,9.34,30.9.2020
94,"Великотърновски университет ""Св. св. Кирил и Методий""",1.3,Педагогика на обучението по ...,Методика на обучението по технологии и предприемачество,програмна акредитация - докторска програма,дава акредитация,9.13,11.7.2023
95,"Великотърновски университет ""Св. св. Кирил и Методий""",1.3,Педагогика на обучението по ...,"Методика на обучението по човек и общество, човек и природа; Педагогика на взаимодействието ""дете – среда""",програмна акредитация - докторска програма,дава акредитация,9.28,25.10.2022
96,"Великотърновски университет ""Св. св. Кирил и Методий""",1.3,Педагогика на обучението по ...,Методика на обучението по чужд език,програмна акредитация - докторска програма,дава акредитация,9.17,25.10.2022
97,"Великотърновски университет ""Св. св. Кирил и Методий""",1.3,Педагогика на обучението по ...,Теория и методика на физическото възпитание и спортната тренировка,програмна акредитация - докторска програма,дава акредитация,9.32,30.9.2020
